threshold,album,artist,song,attention_window
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,0
0.75,Abbey Road,The Beatles,Octopus's Garden,25
0.75,Abbey Road,The Beatles,Octopus's Garden,24
0.75,Abbey Road,The Beatles,Octopus's Garden,23
0.75,Abbey Road,The Beatles,Octopus's Garden,22
0.75,Abbey Road,The Beatles,Octopus's Garden,21
0.75,Abbey Road,The Beatles,Octopus's Garden,20
0.75,Abbey Road,The Beatles,Octopus's Garden,19
0.75,Abbey Road,The Beatles,Octopus's Garden,18
0.75,Abbey Road,The Beatles,Octopus's Garden,17
0.75,Abbey Road,The Beatles,Octopus's Garden,16
0.75,Abbey Road,The Beatles,Octopus's Garden,15
0.75,Abbey Road,The Beatles,Octopus's Garden,14
0.75,Abbey Road,The Beatles,Octopus's Garden,13
0.75,Abbey Road,The Beatles,Octopus's Garden,4
0.75,Abbey Road,The Beatles,Octopus's Garden,11
0.75,Abbey Road,The Beatles,Octopus's Garden,10
0.75,Abbey Road,The Beatles,Octopus's Garden,9
0.75,Abbey Road,The Beatles,Octopus's Garden,2
0.75,Abbey Road,The Beatles,Octopus's Garden,7
0.75,Abbey Road,The Beatles,Octopus's Garden,6
0.75,Abbey Road,The Beatles,Octopus's Garden,5
0.75,Abbey Road,The Beatles,Octopus's Garden,4
0.75,Abbey Road,The Beatles,Octopus's Garden,3
0.75,Abbey Road,The Beatles,Octopus's Garden,2
0.75,Abbey Road,The Beatles,Octopus's Garden,1
0.75,Abbey Road,The Beatles,Octopus's Garden,0
0.75,Abbey Road,The Beatles,Oh! Darling,24
0.75,Abbey Road,The Beatles,Oh! Darling,23
0.75,Abbey Road,The Beatles,Oh! Darling,22
0.75,Abbey Road,The Beatles,Oh! Darling,21
0.75,Abbey Road,The Beatles,Oh! Darling,20
0.75,Abbey Road,The Beatles,Oh! Darling,19
0.75,Abbey Road,The Beatles,Oh! Darling,18
0.75,Abbey Road,The Beatles,Oh! Darling,17
0.75,Abbey Road,The Beatles,Oh! Darling,16
0.75,Abbey Road,The Beatles,Oh! Darling,15
0.75,Abbey Road,The Beatles,Oh! Darling,14
0.75,Abbey Road,The Beatles,Oh! Darling,13
0.75,Abbey Road,The Beatles,Oh! Darling,12
0.75,Abbey Road,The Beatles,Oh! Darling,11
0.75,Abbey Road,The Beatles,Oh! Darling,10
0.75,Abbey Road,The Beatles,Oh! Darling,9
0.75,Abbey Road,The Beatles,Oh! Darling,8
0.75,Abbey Road,The Beatles,Oh! Darling,7
0.75,Abbey Road,The Beatles,Oh! Darling,6
0.75,Abbey Road,The Beatles,Oh! Darling,5
0.75,Abbey Road,The Beatles,Oh! Darling,4
0.75,Abbey Road,The Beatles,Oh! Darling,3
0.75,Abbey Road,The Beatles,Oh! Darling,2
0.75,Abbey Road,The Beatles,Oh! Darling,1
0.75,Abbey Road,The Beatles,Oh! Darling,0
0.75,Abbey Road,The Beatles,Polythene Pam,11
0.75,Abbey Road,The Beatles,Polythene Pam,1
0.75,Abbey Road,The Beatles,Polythene Pam,5
0.75,Abbey Road,The Beatles,Polythene Pam,3
0.75,Abbey Road,The Beatles,Polythene Pam,7
0.75,Abbey Road,The Beatles,Polythene Pam,2
0.75,Abbey Road,The Beatles,Polythene Pam,1
0.75,Abbey Road,The Beatles,Polythene Pam,0
0.75,Abbey Road,The Beatles,Polythene Pam,0
0.75,Abbey Road,The Beatles,Polythene Pam,2
0.75,Abbey Road,The Beatles,Polythene Pam,1
0.75,Abbey Road,The Beatles,Polythene Pam,0
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,10
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,22
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,3
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,20
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,10
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,8
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,2
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,1
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,1
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,1
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,7
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,9
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,1
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,10
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,6
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,3
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,2
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,6
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,2
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,1
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,1
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,2
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,1
0.75,Abbey Road,The Beatles,She Came In Through the Bathroom Window,0
0.75,Abbey Road,The Beatles,Something,18
0.75,Abbey Road,The Beatles,Something,17
0.75,Abbey Road,The Beatles,Something,16
0.75,Abbey Road,The Beatles,Something,15
0.75,Abbey Road,The Beatles,Something,14
0.75,Abbey Road,The Beatles,Something,13
0.75,Abbey Road,The Beatles,Something,5
0.75,Abbey Road,The Beatles,Something,11
0.75,Abbey Road,The Beatles,Something,10
0.75,Abbey Road,The Beatles,Something,9
0.75,Abbey Road,The Beatles,Something,8
0.75,Abbey Road,The Beatles,Something,7
0.75,Abbey Road,The Beatles,Something,2
0.75,Abbey Road,The Beatles,Something,5
0.75,Abbey Road,The Beatles,Something,4
0.75,Abbey Road,The Beatles,Something,3
0.75,Abbey Road,The Beatles,Something,2
0.75,Abbey Road,The Beatles,Something,1
0.75,Abbey Road,The Beatles,Something,0
0.75,Abbey Road,The Beatles,Sun King,7
0.75,Abbey Road,The Beatles,Sun King,6
0.75,Abbey Road,The Beatles,Sun King,4
0.75,Abbey Road,The Beatles,Sun King,4
0.75,Abbey Road,The Beatles,Sun King,3
0.75,Abbey Road,The Beatles,Sun King,2
0.75,Abbey Road,The Beatles,Sun King,1
0.75,Abbey Road,The Beatles,Sun King,0
0.75,Abbey Road,The Beatles,The End,14
0.75,Abbey Road,The Beatles,The End,15
0.75,Abbey Road,The Beatles,The End,14
0.75,Abbey Road,The Beatles,The End,13
0.75,Abbey Road,The Beatles,The End,12
0.75,Abbey Road,The Beatles,The End,11
0.75,Abbey Road,The Beatles,The End,10
0.75,Abbey Road,The Beatles,The End,9
0.75,Abbey Road,The Beatles,The End,8
0.75,Abbey Road,The Beatles,The End,7
0.75,Abbey Road,The Beatles,The End,6
0.75,Abbey Road,The Beatles,The End,5
0.75,Abbey Road,The Beatles,The End,4
0.75,Abbey Road,The Beatles,The End,3
0.75,Abbey Road,The Beatles,The End,2
0.75,Abbey Road,The Beatles,The End,1
0.75,Abbey Road,The Beatles,The End,0
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,1
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,0
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,1
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,7
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,1
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,2
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,2
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,3
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,2
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,1
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,17
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,2
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,17
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,16
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,11
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,10
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,11
