album,artist,song,line_number,attention_window
Abbey Road,The Beatles,She Came In Through the Bathroom Window,4,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,5,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,6,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,7,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,8,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,9,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,10,1
Abbey Road,The Beatles,She Came In Through the Bathroom Window,11,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,12,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,13,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,14,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,15,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,16,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,17,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,18,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,19,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,20,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,21,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,22,1
Abbey Road,The Beatles,She Came In Through the Bathroom Window,23,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,24,0
Abbey Road,The Beatles,Something,1,0
Abbey Road,The Beatles,Something,2,0
Abbey Road,The Beatles,Something,3,0
Abbey Road,The Beatles,Something,4,0
Abbey Road,The Beatles,Something,5,0
Abbey Road,The Beatles,Something,6,0
Abbey Road,The Beatles,Something,7,0
Abbey Road,The Beatles,Something,8,0
Abbey Road,The Beatles,Something,9,0
Abbey Road,The Beatles,Something,10,0
Abbey Road,The Beatles,Something,11,0
Abbey Road,The Beatles,Something,12,0
Abbey Road,The Beatles,Something,13,0
Abbey Road,The Beatles,Something,14,0
Abbey Road,The Beatles,Something,15,0
Abbey Road,The Beatles,Something,16,0
Abbey Road,The Beatles,Something,17,0
Abbey Road,The Beatles,Something,18,0
Abbey Road,The Beatles,Something,19,0
Abbey Road,The Beatles,Sun King,1,1
Abbey Road,The Beatles,Sun King,2,0
Abbey Road,The Beatles,Sun King,3,1
Abbey Road,The Beatles,Sun King,4,0
Abbey Road,The Beatles,Sun King,5,0
Abbey Road,The Beatles,Sun King,6,0
Abbey Road,The Beatles,Sun King,7,0
Abbey Road,The Beatles,Sun King,8,0
Abbey Road,The Beatles,The End,1,0
Abbey Road,The Beatles,The End,2,0
Abbey Road,The Beatles,The End,3,11
Abbey Road,The Beatles,The End,4,10
Abbey Road,The Beatles,The End,5,9
Abbey Road,The Beatles,The End,6,8
Abbey Road,The Beatles,The End,7,7
Abbey Road,The Beatles,The End,8,6
Abbey Road,The Beatles,The End,9,5
Abbey Road,The Beatles,The End,10,4
Abbey Road,The Beatles,The End,11,3
Abbey Road,The Beatles,The End,12,2
Abbey Road,The Beatles,The End,13,1
