album,artist,song,sts_window
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,1
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Mean Mr. Mustard,1
Abbey Road,The Beatles,Mean Mr. Mustard,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Octopus's Garden,2
Abbey Road,The Beatles,Octopus's Garden,1
Abbey Road,The Beatles,Octopus's Garden,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
Abbey Road,The Beatles,Oh! Darling,0
